STAID, SOUID,    DATE,   TN, Q_TN
   274,   921,18170307,  -11,    0
   274,   921,18170308,    0,    0
   274,   921,18170309,  -11,    0
   274,   921,18170310,   -6,    0
   274,   921,18170311,   -6,    0
   274,   921,18170312,   44,    0
   274,   921,18170313,   78,    0
   274,   921,18170314,   56,    0
   274,   921,18170315,   56,    0
   274,   921,18170316,   22,    0
   274,   921,18170317,  -22,    0
   274,   921,18170318,   -6,    0
   274,   921,18170319,   56,    1
   274,   921,18170320,  -28,    0
   274,   921,18170321,  -61,    0
   274,   921,18170322,  -72,    0
   274,   921,18170323,  -33,    0
   274,   921,18170324,   39,    0
   274,   921,18170325,   61,    0
   274,   921,18170326,   22,    0
   274,   921,18170327,  -51,    0
   274,   921,18170328,   11,    0
   274,   921,18170329,   56,    0
   274,   921,18170330,   61,    0
   274,   921,18170331,   39,    0
   274,   921,18170401,   28,    0
   274,   921,18170402,  -22,    0
   274,   921,18170403,    6,    0
   274,   921,18170404,   33,    0
   274,   921,18170405,  -22,    0
   274,   921,18170406,   -6,    0
   274,   921,18170407,   22,    0
   274,   921,18170408,  -33,    0
   274,   921,18170409,   17,    0
   274,   921,18170410,  -11,    0
   274,   921,18170411,  -56,    0
   274,   921,18170412,    6,    0
   274,   921,18170413,   67,    0
   274,   921,18170414,   44,    0
   274,   921,18170415,   72,    0
   274,   921,18170416,   11,    0
   274,   921,18170417,    6,    0
   274,   921,18170418,  -11,    0
   274,   921,18170419,  -11,    0
   274,   921,18170420,   44,    0
   274,   921,18170421,   22,    0
   274,   921,18170422,   -6,    0
   274,   921,18170423,  -17,    0
   274,   921,18170424,  -39,    0
   274,   921,18170425,    0,    0
   274,   921,18170426,   22,    0
   274,   921,18170427,   44,    0
   274,   921,18170428,   17,    0
   274,   921,18170429,   61,    0
   274,   921,18170430,   33,    0
   274,   921,18170501,   28,    0
